,Code,Title,Credits,ResidentPrerequisites,OnlinePrerequisites,RegistrationRestrictions,Offered,Notes
476,CHEM 132,Advanced General Chemistry II,3,([CHEM 121] or [CHEM 131]),,,Residential,
477,CHEM 135,Advanced General Chemistry Lab,1,([CHEM 131]),,,Residential,Take concurrent withCHEM 131
478,CHEM 136,Advanced General Chemistry II Lab,1,([CHEM 121] or ([CHEM 131] and [CHEM 135]) and [CHEM 132]{concurrent}),,,Residential,
479,CHEM 301,Organic Chemistry I,4,([CHEM 122] or ([CHEM 132] and [CHEM 136])),,,Residential,3 hours lecture; 3 hours lab
480,CHEM 301L,Organic Chemistry I Lab,0,([CHEM 121] and [CHEM 122]) or ([CHEM 132] and [CHEM 136]),,,Residential,
481,CHEM 302,Organic Chemistry II,4,([CHEM 301]),,,Residential,3 hours lecture; 3 hours lab
482,CHEM 302L,Organic Chemistry II Lab,0,([CHEM 301] and [CHEM 302]{concurrent}),,,Residential,
483,CHEM 321,Analytical Chemistry,4,([CHEM 122] or ([CHEM 132] and [CHEM 136])),,,Residential,3 hours lecture; 3 hours lab
484,CHEM 322,Instrumental Analysis,4,([CHEM 321]),,,Residential,3 hours lecture; 3 hours lab
485,CHEM 357,Forensic Chemistry,4,([CHEM 302]),,,Residential,
486,CHEM 400,Chemistry Seminar,1,([CHEM 302]),,,Residential,
487,CHEM 461,Physical Chemistry I,3,([CHEM 122] or ([CHEM 132] and [CHEM 136]) and ([MATH 126] or [MATH 131])),,,Residential,
488,CHEM 462,Physical Chemistry II,3,([CHEM 461]),,,Residential,
489,CHEM 465,Physical Chemistry I Lab,1,([CHEM 461]{concurrent}),,,Residential,3 hours lab; concurrent withCHEM 461
490,CHEM 466,Physical Chemistry II Lab,1,([CHEM 462]{concurrent}),,,Residential,3 hours lab; concurrent withCHEM 462
491,CHEM 471,Inorganic Chemistry,4,([CHEM 302]),,,Residential,3 hours lecture; 3 hours lab
492,CHEM 495,Supervised Research in Chemistry,1-3,,,A minimum of 24 hours of chemistry,Residential,
493,CHEM 497,Special Topics in Chemistry,1-3,,,,Residential,
494,CHEM 499,Internship,1-6,,,3.00 GPA and Junior or Senior Standing and 20 hours completed in Chemistry (including 12 hours upper level Chemistry) and a declared major in the Biology and Chemistry department; not more than one CSER behind,Residential,
495,CHIN 101,Elementary Chinese I,3,,,,Residential,
496,CHIN 102,Elementary Chinese II,3,([CHIN 101]),,,Residential,
497,CHIN 201,Intermediate Chinese I,3,([CHIN 102]),,,Residential,
498,CHIN 202,Intermediate Chinese II,3,([CHIN 201]),,,Residential,
499,CHIN 304,Chinese Civilization and Culture,3,([CHIN 202]),,,Residential,
500,CHIN 305,Christianity and Chinese Culture,3,([CHIN 202]),,,Residential,
501,CHIN 495,Chinese Independent,3,,,,Residential,
502,CHIN 497,Special Topics in Chinese,3,([CHIN 202]),,,Residential,
503,CCOU 201,Introduction to Christian Counseling,3,,,,Online,
504,CCOU 202,Issues of Christian Counseling,3,,,,Online,
505,CCOU 301,Christian Counseling for Marriage and Family,3,,,,Online,
506,CCOU 302,Christian Counseling for Children,3,,,,Online,
507,CCOU 304,Christian Counseling for Women,3,,,,Online,
508,CCOU 305,Issues in Human Sexuality,3,,,,Online,
509,CLCM 200,Spiritual Foundations for the Christian Life,3,,,,Residential,
510,CLCM 205,Introduction to Humanitarian Action,3,,([GLST 220] and [THEO 320] and [THEO 325]),,Online,
