,Code,Title,Credits,ResidentPrerequisites,OnlinePrerequisites,RegistrationRestrictions,Offered,Notes
1279,ENGR 110,Introduction to Engineering Fundamentals,3,([MATH 128]{concurrent} or [MATH 131]{concurrent} or [MATH 132]{concurrent}),,,Residential,
1280,ENGR 115,Introduction to Engineering II,2,,([ENGR 105] and ([MATH 128]{concurrent} or [MATH 130]{concurrent} or [MATH 131]{concurrent} or [MATH 201]{concurrent} or [MATH 217]{concurrent})),,Online,
1281,ENGR 125,Visualization for Engineers,1,([ENGR 110]),,,Residential,
1282,ENGR 133,Calculus with MATLAB,1,([MATH 131]{concurrent}),,,Residential and Online,"This course is intended for Engineering, Computer Science or Internet Technology majors only."
1283,ENGR 200,Engineering Design Competition,1,,,,Residential,
1284,ENGR 202,Introduction to Creationeering,3,,,,Residential,
1285,ENGR 210,Probability and Statistical Methods for Engineering,3,((CSCI 110 or [CSIS 110] or [ENGR 110] or [ENGR 115]) and [MATH 131]),(([ENGR 110] or [ENGR 115] or CSCI 110 or [CSIS 110]) and [MATH 131]),,Residential and Online,
1286,ENGR 235,Statics,3,([PHYS 231]),,,Residential and Online,
1287,ENGR 240,Dynamics,3,([ENGR 235]),,,Residential and Online,
1288,ENGR 245,High Performance Computing,3,,,,Residential,
1289,ENGR 270,Technical Communication,3,([ENGL 101]),,,Residential and Online,
1290,ENGR 277,Engineering Ethical and Legal Issues,3,(BWVW 102 or GNED 102) or (BWVW102 Exempt with a score of 5),,,Residential,
1291,ENGR 299,Internship,0,,,"Sophomore status, minimum 2.00 GPA, declared major, two courses within major discipline, full-time enrollment, valid passport and F1 Status greater than 1 year.",Residential,
1292,ENGR 313,Mechatronics,4,([MATH 334] and [PHYS 231] and [PHYS 232]),,Junior Status,Residential,
1293,ENGR 315,Fluid Dynamics,3,([MATH 231] and [ENGR 235]),([MATH 430] and [ENGR 235]),,Residential and Online,
1294,ENGR 320,Thermodynamics,3,([MATH 231] and [PHYS 231]),,,Residential,
1295,ENGR 330,Mechanics of Materials,3,([ENGR 235]),,,Residential and Online,
1296,ENGR 360,Heat Transfer,3,(([PHYS 320] or [ENGR 320]) and [MATH 334]),,,Residential,
1297,ENGR 370,Quality Assurance,3,([ENGR 210]),,,Residential and Online,
1298,ENGR 381,Introduction to Optimum Design,3,([ENGR 210] and [MATH 131] and [MATH 132] and [MATH 231] and [PHYS 231] and [PHYS 232]),([ENGR 210] and [MATH 131] and [MATH 132] and [MATH 430] and [PHYS 231] and [PHYS 232]),"Chair approval, Junior/Senior Status",Residential and Online,
1299,ENGR 385,Thermodynamics II,3,([ENGR 320] or [PHYS 320]),,,Residential,
1300,ENGR 405,Dynamic Systems Modeling,3,([MATH 334] and [ENGR 240]),,,Residential,
1301,ENGR 444,"God, Science, and Creation",3,(([MATH 126] or [MATH 131]) and ([PHYS 201] or [PHYS 231])),,,Residential,
1302,ENGR 470,Technology and Business Development Practicum I,3,([BUSI 336] and [BUSI 338] and [ENGR 102] and [ENGI 220]),,,Residential,
1303,ENGR 475,Technology and Business Development Practicum II,3,([ENGR 470]),,,Residential,
1304,ENGR 481,Engineering Design I,3,(([MATH 334] or [MATH 432]) and (Computer Engineering Gate Req with a score of 5 or Electrical Engineerng Gate Req with a score of 5 or Indust Sys Engineer Gate Req with a score of 5 or Mechanical Engineer Gate Req with a score of 5 or Civil Engineering Gate Req with a score of 5) and [PHYS 232]),(([MATH 334] or [MATH 432]) and Civil Engineering Gate Req with a score of 5 and [PHYS 232]),,Residential and Online,
1305,ENGR 482,Engineering Design II,3,((Computer Engineering Gate Req with a score of 5 or Electrical Engineerng Gate Req with a score of 5 or Indust Sys Engineer Gate Req with a score of 5 or Mechanical Engineer Gate Req with a score of 5 or Civil Engineering Gate Req with a score of 5) and [ENGR 481]),([ENGR 481] and Civil Engineering Gate Req with a score of 5),,Residential and Online,
1306,ENGR 495,Directed Research,3,,,Written permission of the chairman of the department in area of concentration and consent of instructor.,Residential,
1307,ENGR 497,Special Topics in Engineering,1-3,,,,Residential,
1308,ENGR 499,Internship,3,,,"Junior or senior standing within major discipline, minimum 2.5 GPA, declared major, completion of at least 15 hours in major courses.",Residential,
1309,GEOG 200,Introduction to Geography,3,,,,Residential and Online,
1310,GEOG 300,Geographic Research Methods,3,,,,Online,
1311,GEOG 305,Physical Geography,3,,([PHSC 210]),,Online,
1312,GEOG 310,Human Geography,3,,,,Online,
1313,GEOG 320,Regional Studies in Geography,3,,,Junior or Senior status,Residential and Online,
1314,GEOG 370,Geographic Information Systems I,3,,,,Online,This course is cross-listed withENVR 370.
1315,GEOG 371,Geographic Information Systems II,3,,([GEOG 370] or [ENVR 370]),,Online,
1316,GEOG 373,GIS for Urban Planning,3,,([GEOG 370] and [GEOG 371]),,Online,
1317,GEOG 374,GIS for Hydrological Applications,3,,([GEOG 370] and [GEOG 371]),,Online,
1318,GEOG 380,Modern Military Geography,3,,,,Online,
1319,GEOG 405,Demography,3,,([GEOG 200] or [GEOG 300] or [MATH 201] or [MATH 202] or [MATH 211] or [BUSI 230]),,Online,
1320,GEOG 410,Global Issues in Geography,3,([GOVT 200] or [GOVT 210] or [GOVT 220] or GOVT 001 or GOVT 002 or [BUSI 303] or [GEOG 200] or [GEOG 320]),,Junior status,Residential and Online,(Offered as needed)
1321,GEOG 491,Geography Capstone,3,,([GEOG 300]),,Online,
1322,GEOG 495,Directed Research in Geography,3,([GEOG 371] and ([GEOG 370] or [ENVR 370])),,,Residential and Online,
1323,GEOG 497,Special Topics in Geography,3,([GEOG 371] and ([GEOG 370] or [ENVR 370])),,,Residential and Online,
1324,GEOG 499,Internship in Geography,3,,,,Online,
1325,GRMN 101,Elementary German I,3,,,,Residential,
1326,GRMN 102,Elementary German II,3,([GRMN 101]),,,Residential,
1327,GRMN 201,Intermediate German I,3,([GRMN 102]),,,Residential,
1328,GRMN 202,Intermediate German II,3,([GRMN 201]),,,Residential,
1329,GRMN 495,Directed Research,3,,,,Residential,
1330,GRMN 497,Special Topics in German,1-3,([GRMN 202]),,,Residential,
1331,GLST 200,Introduction to Global Studies,3,,,,Residential and Online,
1332,GLST 220,Intercultural Communication and Engagement,3,,,,Residential and Online,
1333,GLST 290,Cultural Anthropology,3,,,,Residential and Online,
1334,GLST 301,Global Exposure,1-3,,,A student must be approved by LU Send OR have received written approval from the Global Studies Department Chair to register for this course.,Residential,
1335,GLST 380,Global Studies Practicum,"1,3",,,"A student must have been accepted through LU Send and the Department of Global Studies for the Global Experience class OR have received written approval from the professor ofGLST 380for an alternative international experience. It is the student's responsibility to make up any prerequisite deficiencies, as stated in the Liberty University Catalog, which would prevent the successful completion of this course.",Residential and Online,
1336,GLST 385,Career Preparation for Global Workers,3,(ICST 200 or [GLST 200]) and [GLST 220] and ([GLST 290] or ICST 300),([GLST 200] and [GLST 220] and [GLST 290]),,Residential and Online,
1337,GLST 387,Living Abroad,3,(ICST 200 or [GLST 200]) and [GLST 220] and ([GLST 290] or ICST 300) and (GLST 441 or ICST 441 or [GLST 385]),,,Residential,
1338,GLST 388,Ethnographic Research,3,(ICST 200 or [GLST 200]) and [GLST 220] and ([GLST 290] or ICST 300) and (ICST 441 or GLST 441 or [GLST 385]),,,Residential,
1339,GLST 389,Barefoot Language Learning,3,(ICST 200 or [GLST 200]) and [GLST 220] and ([GLST 290] or ICST 300) and (ICST 441 or GLST 441 or [GLST 385]),,,Residential,
1340,GLST 390,Engaging Oral Communicators,3,([GLST 220]),,,Residential,
1341,GLST 421,Roman Catholicism,3,,,,Residential,
1342,GLST 425,Animism,3,,,,Residential,
1343,GLST 431,Introduction to Islam,3,,,,Residential,
1344,GLST 461,Becoming a Global Facilitator,3,,,,Residential,
1345,GLST 485,Engaging Tribal Cultures,3,,,,Residential,
1346,GLST 490,Trends and Issues in Global Studies,3,(([GLST 200] or ICST 200) and [GLST 220] and [GLST 290]),,,Residential and Online,
1347,GLST 491,Global Studies Capstone,3,([GLST 499]),,,Residential,
1348,GLST 495,Directed Research,3,,,Junior or senior status and permission of the department chair,Residential,
1349,GLST 497,Special Topics in Global Studies,3,,,,Residential,
1350,GLST 499,Global Studies Internship,3-9,([GLST 200] or ICST 200) and [GLST 220] and ([GLST 290] or ICST 300) and (GLST 441 or [GLST 385] or ICST 441),,,Residential and Online,Online: Students should apply through the Department of Global Studies at least two semesters prior to the internship.
1351,GOVT 200,Constitutional Government and Free Enterprise,3,,,,Residential and Online,GOVT 200is a prerequisite to all upper level government courses.
1352,GOVT 210,Introduction to Political Science,3,([GOVT 200]),,,Residential and Online,
1353,GOVT 215,Logic and Legal Reasoning,3,([GOVT 200]{concurrent}),,,Residential and Online,
1354,GOVT 220,American Government,3,([GOVT 200]),,,Residential and Online,
1355,GOVT 230,Public Policy Research and Writing,3,([GOVT 200]),,,Residential and Online,
1356,GOVT 280,Undergraduate Torts,3,([GOVT 200]{concurrent}),,,Residential and Online,
1357,GOVT 299,Internship,0,,,"Sophomore status, 2.00 GPA, two courses in major, declared major, not more than one CSER behind",Residential,
1358,GOVT 301,Ancient Political and Economic Ideas,3,([GOVT 200]),,,Residential and Online,
1359,GOVT 302,Modern Political and Economic Ideas,3,([GOVT 200]),,,Residential and Online,
1360,GOVT 320,American Executive Processes/Institutions,3,([GOVT 200]),,,Residential and Online,
1361,GOVT 321,American Judicial System,3,([GOVT 200]),,,Residential and Online,
1362,GOVT 322,American Legislative System,3,([GOVT 200]),,,Residential and Online,
1363,GOVT 323,Critical and Historical Development of Public Ethics,3,,,,Online,
1364,GOVT 324,Applied Ethics in Public Policy,3,([GOVT 200]),,,Residential and Online,
1365,GOVT 325,Legal Ethics,3,([GOVT 200]),,,Residential and Online,
1366,GOVT 327,State and Local Government,3,([GOVT 200]),,,Residential and Online,
1367,GOVT 328,American Political Processes,3,,([GOVT 200]),,Online,
1368,GOVT 329,American Exceptionalism,3,([GOVT 200]),,,Residential and Online,
1369,GOVT 330,Introduction to Comparative Politics,3,([GOVT 200]),,,Residential and Online,
1370,GOVT 332,Politics of Europe,3,([GOVT 200]),,,Residential,
1371,GOVT 333,Post-Communist Politics,3,([GOVT 200]),,,Residential,
1372,GOVT 334,Politics of Latin America,3,([GOVT 200]),,,Residential,
1373,GOVT 335,Politics of Asia,3,([GOVT 200]),,,Residential,
1374,GOVT 337,Politics of the Middle East,3,([GOVT 200]),,,Residential,
1375,GOVT 338,Politics of the Third World,3,,,,,
1376,GOVT 340,International Relations,3,([GOVT 200]),,,Residential and Online,(Offered fall semester)
1377,GOVT 345,Jurisprudence,3,([GOVT 200]),,,Residential and Online,
1378,GOVT 346,Legal Research and Writing,3,([GOVT 200] and ([RSCH 201] or Inquiry Research with a score of 80 or Research Assessment with a score of 80 or Research (prior to 2017-2018) with a score of 80)),([GOVT 200]),,Residential and Online,
1379,GOVT 348,Constitutional Studies - The 2nd Amendment: The Right to Keep and Bear Arms,3,([GOVT 200]),,,Residential and Online,
1380,GOVT 350,Political Economy and Public Policy,3,([GOVT 200]),,,Residential and Online,
1381,GOVT 370,Candidate Development,3,,,,,
1382,GOVT 371,Campaign Management,3,,,,,
1383,GOVT 372,Legislative Project Management,3,,,,,
1384,GOVT 373,Political Communication,3,,,,,
1385,GOVT 374,Professional Development,3,,,,,
1386,GOVT 375,Political Fundraising,3,,,,,
1387,GOVT 376,Resilient Nations,3,([GOVT 200]),,,Residential and Online,
1388,GOVT 380,Introduction to Intelligence and National Security,3,([GOVT 200]),,,Residential and Online,
1389,GOVT 381,Intelligence Analysis,3,([GOVT 200]),,,Residential and Online,
1390,GOVT 382,History of Intelligence,3,([GOVT 200]),,,Residential and Online,(Offered fall semester)
1391,GOVT 383,History and Nature of Intelligence Tools,3,([GOVT 200]),,,Residential,
1392,GOVT 384,Introduction to Strategic Studies,3,,,,Online,
1393,GOVT 385,NDU/NIS Symposia I,3,([GOVT 200]),,,Residential,"(Offered fall and spring semesters, when available) Note: Extra costs above tuition and fees apply."
1394,GOVT 386,NDU/NIS Symposia II,3,([GOVT 480] or [GOVT 380] or [GOVT 381] or [GOVT 382] or [GOVT 483] or [GOVT 484]),,,Residential,"(Offered fall and spring semesters, when available) Note: Extra costs above tuition and fees apply."
1395,GOVT 387,"Sovereignty, Borders, and Territorial Integrity",3,,,,Online,
1396,GOVT 388,"Ethics, Just War, and Use of Force",3,,,,Online,
1397,GOVT 400,Government Colloquium,1,([GOVT 200] or [GOVT 220] or [GOVT 210]),,,Residential,
1398,GOVT 401,"Adv Criminal Law, Procedure/Ev",3,,,,,
1399,GOVT 402,American Political Ideas: The Founders,3,([GOVT 200] or [GOVT 220] or [GOVT 210]),,,Residential,
1400,GOVT 403,International Economics,3,([GOVT 200]),,,Residential,
1401,GOVT 404,Undergraduate Contracts,3,([GOVT 200]),,,Residential and Online,
1402,GOVT 405,Political and Economic Development,3,([GOVT 200]),,,Residential,(Offered fall semester odd numbered years)
1403,GOVT 406,Undergraduate Property,3,([GOVT 200]),,,Residential and Online,
1404,GOVT 407,Undergraduate Civil Procedure,3,([GOVT 200]),,,Residential and Online,
1405,GOVT 408,Negotiation,3,([GOVT 200]),,,Residential and Online,
1406,GOVT 409,Advanced Logic and Legal Reasoning,3,([GOVT 200]),,,Residential and Online,
1407,GOVT 410,Political Science Research,3,,([GOVT 210] and [GOVT 230]),,Online,
1408,GOVT 421,American Constitutional History,3,([GOVT 200]),,,Residential and Online,
1409,GOVT 422,American Constitutional Law,3,([GOVT 200] and [GOVT 421]),([GOVT 421] and [GOVT 346] and [GOVT 200]),,Residential and Online,(Offered spring semester)
1410,GOVT 424,Judicial Process,3,,,,,
1411,GOVT 425,American Foreign Policy,3,([GOVT 200]),,,Residential and Online,
1412,GOVT 430,Comparative Economic and Political Ideas,3,([GOVT 200]),,,Residential,
1413,GOVT 433,The Jewish Temple in History and Prophecy,3,([BIBL 105] or [BIBL 205]) and ([BIBL 110] or [BIBL 210]),,,Residential,
1414,GOVT 440,Political Geography,3,([GOVT 200]),,,Residential and Online,(Offered spring semester)
1415,GOVT 445,International Law,3,([GOVT 200]),,,Residential,(Offered spring semester)
1416,GOVT 450,Middle East Conflict in Biblical Perspective,3,([BIBL 105] or [BIBL 205]) and ([BIBL 110] or [BIBL 210]),,,Residential,
1417,GOVT 451,Social Policy,3,([GOVT 200]),,,Residential,
1418,GOVT 458,Public Policy Development in the Political Environment,3,([GOVT 200]),,,Residential and Online,
1419,GOVT 459,Criminal Justice Law and Policy,3,,([GOVT 458]),,Online,
1420,GOVT 460,Contemporary Issues in Political Science,3,,([GOVT 220] and [GOVT 200]),,Online,
1421,GOVT 461,National Security Law and Policy,3,,([GOVT 458]),,Online,
1422,GOVT 463,Health Care Law and Policy,3,,([GOVT 458]),,Online,
1423,GOVT 465,Education Law and Policy,3,,([GOVT 458]),,Online,
1424,GOVT 467,Religious Liberty Law and Policy,3,,([GOVT 458]),,Online,
1425,GOVT 469,Economics Law and Policy,3,,,,Online,
1426,GOVT 470,Government Regulation of Business,3,,([GOVT 200]),,Online,
1427,GOVT 473,Undergraduate Law Review,1,,,,Residential,
1428,GOVT 474,American Political Parties,3,([GOVT 200]),,,Residential and Online,
1429,GOVT 476,Persuasive Argumentation for Lawyers,3,,([GOVT 200] and [GOVT 346]),,Online,
1430,GOVT 477,Trial Advocacy,3,([GOVT 200]),,,Residential,
1431,GOVT 478,Appellate Advocacy,3,([GOVT 200]),,,Residential,
1432,GOVT 479,Juvenile Justice,3,,,,,
1433,GOVT 480,Terrorism,3,([GOVT 200]),,,Residential and Online,
1434,GOVT 481,Counter-Terrorism,3,([GOVT 200]),,,Residential and Online,
1435,GOVT 482,Counter-Intelligence,3,([GOVT 380]),,,Residential and Online,
1436,GOVT 483,Military Operations and Intelligence,3,([GOVT 200]),,,Residential and Online,
1437,GOVT 484,Strategic Intelligence,3,([GOVT 200]),,,Residential and Online,
1438,GOVT 485,NDU/NIS Symposia III,3,([GOVT 480] or [GOVT 380] or [GOVT 381] or [GOVT 382] or [GOVT 483] or [GOVT 484]),,,Residential,"(Offered fall and spring semesters, when available) Note: Extra costs above tuition and fees apply."
1439,GOVT 486,NDU/NIS Symposia IV,3,([GOVT 480] or [GOVT 380] or [GOVT 381] or [GOVT 382] or [GOVT 483] or [GOVT 484]),,,Residential,"(Offered fall and spring semesters, when available) Note: Extra costs above tuition and fees apply."
1440,GOVT 487,Ethics in Intelligence,3,([GOVT 200]),,Upper division standing,Residential and Online,
1441,GOVT 488,Psychological Operations,3,([GOVT 200]),,Upper Division Standing,Residential,
1442,GOVT 489,Field Practicum,3,([GOVT 200]),,,Residential,
1443,GOVT 490,Political Theory,3,([GOVT 200]),,,Residential and Online,
1444,GOVT 491,Advanced Intelligence Analysis,3,([GOVT 200]),,,Residential and Online,
1445,GOVT 492,Senior Seminar,3,([GOVT 200] and ([RSCH 201] or Inquiry Research with a score of 80 or Research Assessment with a score of 80 or Research (prior to 2017-2018) with a score of 80)),([GOVT 200]),Senior Standing or at least 21 upper division hours in Government,Residential and Online,
1446,GOVT 493,Advanced Appellate Advocacy,3,([GOVT 200]),,,Residential,
1447,GOVT 494,Intelligence Studies Capstone,3,,,,Online,
1448,GOVT 495,Directed Research,1-3,,([GOVT 200] or [GOVT 220] or [GOVT 210]),,Online,
1449,GOVT 496,National Security Studies Capstone,3,([GOVT 200]),,,Residential and Online,
1450,GOVT 497,Special Topics in Government,1-3,([GOVT 200]),,,Residential,
1451,GOVT 499,Field Research (Internship),1-6,([GOVT 200]),,Junior or Senior status and required GPA,Residential and Online,
1452,GREK 201,Greek Grammar I,3,,,,Residential,
1453,GREK 202,Greek Grammar II,3,([GREK 201]),,,Residential,
1454,GREK 301,Greek Grammar III,3,([GREK 202]),,,Residential,
1455,GREK 302,Greek Syntax and Reading,3,([GREK 201] and [GREK 202]),,,Residential,
1456,GREK 401,Greek Exegesis,3,([GREK 202] and [GREK 302]),,,Residential,
1457,GREK 455,Advanced Greek Reading,3,([GREK 401]),,,Residential,
1458,GREK 495,Directed Research in Greek,3,,,,Residential,
1459,GREK 497,Seminar,1-3,,,,Residential,
1460,HLTH 105,Introduction to the Health Professions,3,,,,Residential and Online,
1461,HLTH 205,Accident Prevention and Care (First Aid),3,,,,Residential,
1462,HLTH 211,Applied Anatomy and Physiology I for Associate Degree,3,,,,Online,
1463,HLTH 212,Applied Anatomy and Physiology II for Associate Degree,3,,,,Online,
1464,HLTH 216,Personal Health,3,,,,Residential,
1465,HLTH 221,Applied Human Anatomy and Physiology I,3,,,,Residential and Online,This course does not substitute forBIOL 213214
1466,HLTH 222,Applied Human Anatomy and Physiology II,3,,([HLTH 221] or HLTH 201),,Residential and Online,This course does not substitute forBIOL 215216
1467,HLTH 252,Drugs in Society,3,,,,Residential and Online,
1468,HLTH 299,Internship,0,,,"Sophomore status, 2.00 GPA, two courses in major, declared major, not more than one CSER behind",Residential,
1469,HLTH 301,Foundations of Public Health,3,,,,Residential,
1470,HLTH 311,Health Promotion Methods for Global Settings,3,,,Completion of at least one academic year,Residential,Offered spring semester
1471,HLTH 330,Human Nutrition,3,(BIOL 211 or [BIOL 213] or [BIOL 214] or [BIOL 101] or [BIOL 102] or BIOL 200 or BIOL 1XX or BIOL 2XX or [CHEM 105] or [CHEM 107] or CHEM 1XX or CHEM 2XX or HLTH 201 or HLTH 202 or [BIOL 215] or [HLTH 221] or [BIOL 216] or [HLTH 222] or [BIOL 224] or [BIOL 225]),,,Residential and Online,
1472,HLTH 332,Principles of Food Preparation,4,([HLTH 330]),,,Residential,This course must be taken concurrently withHLTH 332L
1473,HLTH 332L,Principles of Food Preparation Lab,0,([HLTH 330] and [HLTH 332]{concurrent}),,,Residential,
1474,HLTH 333,Exercise and Sports Nutrition,3,([EXSC 310]),,,Residential,
1475,HLTH 334,Nutrition Through the Life Cycle,3,([HLTH 330]),,,Residential,
1476,HLTH 340,Women's Health Issues,3,,,Women only; Completion of at least one academic year,Residential,Offered fall semester
1477,HLTH 341,Men’s Health Issues,3,,,Completion of at least one academic year. Men only,Residential,
1478,HLTH 349,Public and Community Health for Business,3,,,,Online,This course does not substitute forHLTH 350
1479,HLTH 350,Introduction to Public and Community Health,3,,,,Residential,
1480,HLTH 370,Introduction to Environmental Hazards and Response,3,([HLTH 301] or [HLTH 350]{concurrent}),,,Residential,
1481,HLTH 380,Health Promotion for Aging Populations,3,,,Completion of at least one academic year,Residential and Online,Offered fall semester
1482,HLTH 400,Contemporary Health Issues,3,,,Junior or Senior status,Residential,Offered fall semester
1483,HLTH 402,The School Health Program,3,,,Junior and Senior status,Residential,Offered spring semester
1484,HLTH 419,Wellness and Behavior Change Theories for Business,3,,,,Online,
1485,HLTH 420,Principles of Behavior Change and Health Counseling,3,([HLTH 350]),,,Residential,
1486,HLTH 430,Community Nutrition,3,([HLTH 330]),,,Residential,
1487,HLTH 432,Preventative Nutrition,3,([HLTH 330]),,,Residential,
1488,HLTH 440,Methods and Resources in Teaching Applied Sciences in Schools,2,([HLTH 402] and Background Check Clearance with a score of 5 and Undergraduate Initial Gate 2 with a score of 5),,,Residential,(Offered fall semester)
1489,HLTH 441,Methods and Resources in Teaching Applied Sciences in School Practicum,1,([HLTH 402] and Background Check Clearance with a score of 5 and Undergraduate Initial Gate 2 with a score of 5),,,Residential,(Offered fall semester).
1490,HLTH 444,Principles of Epidemiology and Biostatistics,3,([MATH 201]),,,Residential,
1491,HLTH 452,Methods and Materials in Community Health Education,3,([HLTH 350]),,,Residential,
1492,HLTH 453,Program Planning and Evaluation in Health Education,3,([HLTH 350] and [HLTH 420]),,Senior status,Residential,
1493,HLTH 485,Principles of Epidemiology and Biostatistics for Business,3,,([MATH 201] or [BUSI 230]),,Online,
1494,HLTH 488,Chronic and Infectious Diseases,3,([BIOL 203] or [BIOL 303]),,,Residential,
1495,HLTH 491,Grantsmanship,3,,,,Residential and Online,
1496,HLTH 495,Directed Research,1-6,,,Approval of the program director,Residential,
1497,HLTH 496,Special Topics in Nutrition,3,([HLTH 330]),,,Residential,
1498,HLTH 497,Special Topics in Health,1-3,,,,Residential,
1499,HLTH 498,Public Health Senior Seminar,3,([HLTH 301] and [HLTH 350] and [HLTH 444]),,,Residential,
1500,HLTH 499,Professional Internship in Health Promotion,1-12,([HLTH 452] and [HLTH 453]),,Consent of instructor; required cumulative GPA of 2.35;HLTH 452and453; CPR/First Aid Certification; Junior or Senior status,Residential,
1501,HSCI 405,Environmental Health for Health Science Professionals,3,,,,Online,
1502,HSCI 425,Prevention and Control of Infectious Disease for Health Science Professionals,3,,,,Online,
1503,HSCI 426,Vaccines and Immunology for Health Science Professionals,3,,,,Online,
1504,HSCI 442,Food-borne Illness Prevention for Health Science Professionals,3,,,,Online,
1505,HVAC 101,Foundations of HVAC,4,([CRFT 101]{concurrent}),,,Residential,
1506,HVAC 201,Intermediate HVAC,4,([HVAC 101] and [CRFT 101]),,,Residential,
1507,HVAC 301,Advanced HVAC,4,([HVAC 201] and [CRFT 101]),,,Residential,
1508,HVAC 401,Special Topics in HVAC,4,([HVAC 301] and [CRFT 101]),,,Residential,
1509,HBRW 201,Hebrew Grammar I,3,,,,Residential,
1510,HBRW 202,Hebrew Grammar II,3,([HBRW 201]),,,Residential,
1511,HBRW 301,Hebrew Syntax and Exegesis,3,([HBRW 201] and [HBRW 202]),,,Residential,
1512,HBRW 495,Directed Research in Hebrew,3-6,,,,Residential,
1513,HIST 101,American History Orientation,3,,,,,HIST 101is NOT approved as a General Education elective in the Core Competency Requirements nor as an elective within the major.HIST 101can only be taken as a Free Elective.
1514,HIST 299,Internship,0,,,"Sophomore status, 2.00 GPA, two courses in major, declared major, not more than one CSER behind",Residential,
1515,HIST 300,Historical Methodology,3,,,,Residential and Online,
1516,HIST 305,Introduction to Public History,3,,,,Residential,
1517,HIST 307,Historic Preservation,3,,,,Residential,
1518,HIST 309,Historic Fashion and Design,3,,,,Online,
1519,HIST 419,Secondary Social Studies Teaching Methods,3,(Undergraduate Initial Gate 2 with a score of 5 and (Background Check Clearance with a score of 5 or Background Clear Virginia with a score of 5)),,Approval for teacher training; have completed 50% of academic major,Residential and Online,
1520,HIST 420,Secondary Teaching Methods Practicum,0,([HIST 419]{concurrent} and Undergraduate Initial Gate 2 with a score of 5 and (Background Check Clearance with a score of 5 or Background Clear Virginia with a score of 5)),,,Residential,
1521,HIST 490,Senior Research Seminar,3,([HIST 300]),,Junior or Senior Status,Residential,
1522,HIST 491,Senior Capstone Seminar,3,([HIST 300]),([HIST 300] and ([HIEU 321] or [HIEU 322] or [HIEU 360] or [HIEU 370] or [HIEU 380] or [HIEU 390] or [HIEU 425] or [HIEU 450] or [HIEU 455] or [HIEU 460] or [HIEU 466] or [HIEU 485] or [HIUS 310] or [HIUS 312] or [HIUS 314] or [HIUS 316] or [HIUS 340] or [HIUS 341] or [HIUS 351] or [HIUS 360] or [HIUS 380] or [HIUS 390] or [HIUS 395] or [HIUS 396] or [HIUS 420] or [HIUS 430] or HIUS 442 or [HIUS 452] or [HIUS 470] or [HIWD 320] or [HIWD 341] or [HIWD 350] or [HIWD 370] or [HIWD 371] or [HIWD 372] or [HIWD 375] or [HIWD 460])),Senior Status,Residential and Online,
1523,HIST 495,Directed Research,6,,,,Residential and Online,
1524,HIST 497,Special Topics in History,3,,,,Residential,
1525,HIST 499,Internship,1-6,([HIST 300]),,HIST 300; Junior or Senior status; 2.70 or higher GPA; a minimum of 12 hours in the major,Residential and Online,
1526,HIEU 201,History of Western Civilization I,3,,,,Residential and Online,
1527,HIEU 202,History of Western Civilization II,3,,,,Residential and Online,
1528,HIEU 321,Greek Civilization,3,,,,Residential,
1529,HIEU 322,Roman Civilization,3,,,,Residential and Online,
1530,HIEU 360,The Medieval Experience,3,,,,Residential,
1531,HIEU 370,Age of the Enlightenments,3,,,,Residential,
1532,HIEU 380,Age of Nationalisms,3,,,,Residential,
1533,HIEU 390,Modern Europe,3,,,,Online,
1534,HIEU 425,The French Revolution and the Napoleonic Era,3,,,,Residential and Online,
1535,HIEU 450,Twentieth Century Germany,3,,,,Residential,
1536,HIEU 455,World War II,3,,,,Residential,
1537,HIEU 460,Modern Britain,3,,,,Residential,(Offered as needed)
1538,HIEU 466,Renaissance and Reformation Europe,3,,,,Residential and Online,
1539,HIEU 485,History of Russia,3,,,,Residential,
1540,HIEU 495,Directed Research,1-3,,,,Residential,
1541,HIEU 497,Special Topics in European History,1-3,,,,Residential,
1542,HIUS 221,Survey of American History I,3,,,,Residential and Online,
1543,HIUS 222,Survey of American History II,3,,,,Residential and Online,
1544,HIUS 223,Survey of American History I On Site,3,,,,Residential and Online,
1545,HIUS 310,American Colonial History,3,,,,Residential,
1546,HIUS 312,Era of the American Revolution,3,,,,Residential,
1547,HIUS 313,The American Founding,3,,,,Residential and Online,
1548,HIUS 314,"Jeffersonian America, 1789-1815",3,,,,Residential,
1549,HIUS 316,Jacksonian America,3,,,,Online,
1550,HIUS 330,Christianity in America,3,,,,Residential and Online,
1551,HIUS 340,"Industrial America, 1877-1917",3,,,,Residential,
1552,HIUS 341,History of American Politics,3,,,,Residential and Online,
1553,HIUS 351,"U.S. History, 1917-1945",3,,,,Residential,
1554,HIUS 360,History of American Entrepreneurship,3,,,,Residential and Online,
1555,HIUS 380,Modern American Military History,3,,,,Residential and Online,
1556,HIUS 390,History of Virginia,3,([HIUS 221] or [HIUS 222] or [HIUS 223] or (Background Check Clearance with a score of 5 or Background Clear International with a score of 5 or Background Clear Out of State with a score of 5 or Background Clear Virginia with a score of 5)),,,Residential and Online,
1557,HIUS 395,The Ante-Bellum South,3,,,,Residential,
1558,HIUS 396,The New South,3,,,,Residential,
1559,HIUS 420,Civil War and Reconstruction,3,,,,Residential and Online,
1560,HIUS 430,"Minorities, Ethnics, and Social Movements in America",3,,,,Residential,
